TeamId,TeamName,SubmissionDate,Score
8398674,CADang,"2022-11-28 03:19:31",0.87795
8593894,"Involutional Neural Network","2022-12-07 22:44:32",0.85223
8402036,"Karl Cini","2022-11-15 09:56:46",0.82253
8657182,"random sampling","2022-12-03 08:29:27",0.82160
8881970,"Viktor Taran","2022-12-09 12:18:29",0.81809
8962869,"Burak Kaya","2022-11-22 22:20:54",0.81739
8814896,"Matan Peleg","2022-10-10 18:30:12",0.81716
9484812,Bjarkason,"2022-11-27 15:14:01",0.81716
9043565,"Konstantin Dobkes","2022-11-05 14:56:37",0.81692
8821523,yunusserhat,"2022-11-18 22:51:36",0.81692
9211712,"Jim Liu","2022-10-26 03:10:50",0.81669
9293382,MOMO,"2022-11-04 04:37:01",0.81669
9375583,"ma 127","2022-10-30 11:40:51",0.81669
9330258,Gaomagic,"2022-11-01 10:36:25",0.81669
9430101,"Yassine BEN","2022-11-09 01:03:04",0.81669
9429414,Badiçe,"2022-12-09 15:12:58",0.81669
9274470,TWKGLCH,"2022-11-22 08:36:47",0.81669
9443972,"Şura Nur Ertürkmen","2022-11-15 21:22:47",0.81669
9391514,"sally zhuang","2022-11-29 04:41:50",0.81669
9431576,"Ouyang Wenqing","2022-11-13 07:17:56",0.81669
9472374,厉豪豪豪,"2022-11-16 17:21:55",0.81669
9126604,CineOP,"2022-11-21 08:26:21",0.81669
9429091,cmkqwerty,"2022-11-17 10:54:37",0.81669
9474766,jaehok,"2022-11-19 00:08:25",0.81669
8215372,"Mathurin Aché","2022-12-06 07:05:26",0.81669
9509098,maxsarmento,"2022-11-24 16:09:57",0.81669
9521720,"Mahesh Nayaka MA","2022-11-26 11:35:48",0.81669
9287293,NUDTDMZR,"2022-12-09 04:24:32",0.81669
9541148,"Kseniya Sherstobitova","2022-11-30 04:30:03",0.81669
8952417,"Süleyman Şen","2022-12-08 14:39:29",0.81669
9445574,"Ahmed Ashraf Ahmed","2022-11-30 16:55:16",0.81669
9474614,Gwani_17,"2022-12-01 08:03:17",0.81669
9521706,"Murgesh korti","2022-12-01 23:37:48",0.81669
9419001,HanZieun,"2022-12-07 13:44:20",0.81669
9487750,"Chani Jung","2022-12-07 12:53:52",0.81669
9451589,"Happy Smile","2022-12-06 21:52:25",0.81669
9429477,"Berat ERSARI","2022-11-18 13:52:13",0.81622
9156220,PTVN,"2022-11-19 09:22:24",0.81622
9414147,yswang,"2022-12-07 04:27:23",0.81599
9477204,JezvCP,"2022-11-17 10:46:44",0.81599
9413828,malumon,"2022-11-18 02:02:17",0.81599
9249031,"Lukas Frei","2022-11-22 00:50:14",0.81575
9241930,¯\_(ツ)_/¯,"2022-10-11 12:24:39",0.81529
9214620,aldparis,"2022-11-19 16:28:27",0.81529
9569716,lalala_lyx,"2022-12-08 13:28:44",0.81505
9184039,AIOptimizer,"2022-10-16 11:20:18",0.81482
9297334,"glaston jiue","2022-10-15 09:22:05",0.81482
9268644,"PRANODNARD VIBOONSANG","2022-11-07 12:05:32",0.81482
9113194,Krixzy,"2022-10-23 14:58:40",0.81482
9365828,clionnnnnn,"2022-10-24 13:38:44",0.81482
9169315,CryoSpace,"2022-10-30 16:35:50",0.81482
9350568,A.S.,"2022-10-26 13:55:51",0.81482
9315619,memedv,"2022-11-01 10:38:27",0.81482
9286471,"Omar Attawneh","2022-11-07 09:40:47",0.81482
9435070,denizberkin,"2022-11-13 18:14:39",0.81482
8477872,THARUN369,"2022-11-14 10:53:50",0.81482
9469528,"Ugur Genc","2022-11-25 12:24:03",0.81482
9275337,joohen,"2022-10-11 13:27:47",0.81458
9292698,"Juwon yeo","2022-11-15 15:38:43",0.81458
9300649,Chenyuan,"2022-10-16 06:03:48",0.81458
9266653," monarchao","2022-10-17 19:01:16",0.81458
9286608,mtcars.xlsx,"2022-10-30 17:33:05",0.81458
8590872,Wistiti,"2022-11-16 01:18:36",0.81458
9370615,0x,"2022-10-29 05:23:09",0.81458
8683503,"💥Tesla, Inc.💥","2022-11-08 03:00:40",0.81458
9461742,"zed zed","2022-11-19 13:45:33",0.81458
9335285,Jack,"2022-12-04 18:30:47",0.81435
